Gene1,Gene2
FOXO3,ANK1
XPO7,ANK1
RAD23A,ANK1
ACSL6,ANK1
RNF123,ANK1
SLC6A8,ANK1
AHSP,ANK1
ANK1,ANK1
CA2,ANK1
HBQ1,ANK1
HMBS,ANK1
PPOX,ANK1
RHAG,ANK1
BLVRB,ANK1
DCAF11,ANK1
GLRX5,ANK1
GYPC,ANK1
TAL1,ANK1
ALAD,ANK1
ALAS2,ANK1
EIF1AY,ANK1
EIF2AK1,ANK1
EPB42,ANK1
ERMAP,ANK1
FECH,ANK1
GYPB,ANK1
GYPE,ANK1
MAP2K3,ANK1
RHCE,ANK1
SELENBP1,ANK1
SLC4A1,ANK1
SPTA1,ANK1
TRIM10,ANK1
TRAK2,ANK1
BNIP3L,ANK1
CDC27,ANK1
SLC22A4,ANK1
CROCCP2,ANK1
BSG,ANK1
H1F0,ANK1
HIST1H4C,ANK1
MPP1,ANK1
NFE2,ANK1
OSBP2,ANK1
RANBP10,ANK1
SLC12A3,ANK1
SNCA,ANK1
TMCC2,ANK1
CLIC2,ANK1
MARCH8,ANK1
RHD,ANK1
TSPAN5,ANK1
FBXO7,ANK1
UROD,ANK1
SPTB,ANK1
NUDT4,ANK1
GYPA,ANK1
KAT2B,ANK1
CA1,ANK1
GATA1,ANK1
HBD,ANK1
KEL,ANK1
HEBP1,ANK1
PRDX2,ANK1
CTSE,ANK1
KLF1,ANK1
XK,ANK1
GCLM,ANK1
MINPP1,ANK1
ICAM4,ANK1
NARF,ANK1
UBAC1,ANK1
TFDP1,ANK1
TSPO2,ANK1
FOXO3,SPTB
XPO7,SPTB
RAD23A,SPTB
ACSL6,SPTB
RNF123,SPTB
SLC6A8,SPTB
AHSP,SPTB
ANK1,SPTB
CA2,SPTB
HBQ1,SPTB
HMBS,SPTB
PPOX,SPTB
RHAG,SPTB
BLVRB,SPTB
DCAF11,SPTB
GLRX5,SPTB
GYPC,SPTB
TAL1,SPTB
ALAD,SPTB
ALAS2,SPTB
EIF1AY,SPTB
EIF2AK1,SPTB
EPB42,SPTB
ERMAP,SPTB
FECH,SPTB
GYPB,SPTB
GYPE,SPTB
MAP2K3,SPTB
RHCE,SPTB
SELENBP1,SPTB
SLC4A1,SPTB
SPTA1,SPTB
TRIM10,SPTB
TRAK2,SPTB
BNIP3L,SPTB
CDC27,SPTB
SLC22A4,SPTB
CROCCP2,SPTB
BSG,SPTB
H1F0,SPTB
HIST1H4C,SPTB
MPP1,SPTB
NFE2,SPTB
OSBP2,SPTB
RANBP10,SPTB
SLC12A3,SPTB
SNCA,SPTB
TMCC2,SPTB
CLIC2,SPTB
MARCH8,SPTB
RHD,SPTB
TSPAN5,SPTB
FBXO7,SPTB
UROD,SPTB
SPTB,SPTB
NUDT4,SPTB
GYPA,SPTB
KAT2B,SPTB
CA1,SPTB
GATA1,SPTB
HBD,SPTB
KEL,SPTB
HEBP1,SPTB
PRDX2,SPTB
CTSE,SPTB
KLF1,SPTB
XK,SPTB
GCLM,SPTB
MINPP1,SPTB
ICAM4,SPTB
NARF,SPTB
UBAC1,SPTB
TFDP1,SPTB
TSPO2,SPTB
ADD2,TAL1
XPO7,TAL1
RAD23A,TAL1
HDGF,TAL1
AHSP,TAL1
ANK1,TAL1
