probe_1,probe_2,rp,rp_pval,gene_1,gene_2,rg,rg_se,p1_h2,p2_h2,exp_se,p1_chr,p2_chr,p1_co,p2_co,dist,cis_trans,p_val
ILMN_2209027,ILMN_2180866,0.911,0,RPS26,RPS26P11,1,0.014,0.946,0.929,0.012,12,X,54722494,71181176,NA,trans,1.00E-300
ILMN_1678522,ILMN_2180866,0.915,0,LOC644934,RPS26P11,1,0.014,0.896,0.929,0.012,15,X,62672248,71181176,NA,trans,1.00E-300
ILMN_2310703,ILMN_2180866,0.923,0,RPS26L,RPS26P11,1,0.015,0.924,0.929,0.011,13,X,99990206,71181176,NA,trans,1.00E-300
ILMN_1678522,ILMN_2310703,0.93,0,LOC644934,RPS26L,0.981,0.014,0.896,0.924,0.01,15,13,62672248,99990206,NA,trans,1.00E-300
ILMN_2209027,ILMN_2310703,0.934,0,RPS26,RPS26L,0.985,0.012,0.946,0.924,0.009,12,13,54722494,99990206,NA,trans,1.00E-300
ILMN_1678522,ILMN_2209027,0.948,0,LOC644934,RPS26,0.986,0.01,0.896,0.946,0.007,15,12,62672248,54722494,NA,trans,1.00E-300
ILMN_1796678,ILMN_2084825,0.978,0,HBG1,HBG2,1,0.011,0.457,0.372,0.007,11,11,5269620,5274538,4918,cis,1.00E-300
ILMN_2193213,ILMN_2102721,0.984,0,DEFA1,DEFA1B,0.998,0.01,0.26,0.286,0.008,8,8,6837554,6856674,19120,cis,1.00E-300
ILMN_1679357,ILMN_2102721,0.986,0,DEFA1B,DEFA1B,0.997,0.009,0.274,0.286,0.007,8,8,6855183,6856674,1491,cis,1.00E-300
ILMN_2193213,ILMN_1679357,0.986,0,DEFA1,DEFA1B,1,0.01,0.26,0.274,0.007,8,8,6837554,6855183,17629,cis,1.00E-300
ILMN_1679357,ILMN_1725661,0.987,0,DEFA1B,DEFA1B,1,0.008,0.274,0.275,0.006,8,8,6855183,6856667,1484,cis,1.00E-300
ILMN_1725661,ILMN_2102721,0.988,0,DEFA1B,DEFA1B,1,0.008,0.275,0.286,0.005,8,8,6856667,6856674,7,cis,1.00E-300
ILMN_2102721,ILMN_2165289,0.988,0,DEFA1B,DEFA3,1,0.01,0.286,0.263,0.006,8,8,6856674,6875765,19091,cis,1.00E-300
ILMN_2193213,ILMN_2165289,0.99,0,DEFA1,DEFA3,1,0.006,0.26,0.263,0.005,8,8,6837554,6875765,38211,cis,1.00E-300
ILMN_1725661,ILMN_2165289,0.991,0,DEFA1B,DEFA3,1,0.009,0.275,0.263,0.004,8,8,6856667,6875765,19098,cis,1.00E-300
ILMN_1651496,ILMN_1758623,0.865,0,HIST1H2BD,HIST1H2BD,1,0.028,0.8,0.829,0.021,6,6,26171304,26158384,12920,cis,2.37E-282
ILMN_1667232,ILMN_1739756,0.951,0,KIR2DL3,KIR2DL4,1,0.028,0.308,0.371,0.019,19,19,55264353,67964,55196389,cis,2.37E-282
ILMN_2352121,ILMN_1769734,0.843,0,NT5C3,NT5C3,1,0.04,0.683,0.648,0.03,7,7,33055350,33057109,1759,cis,6.11E-141
ILMN_1663142,ILMN_2403228,0.894,0,CLEC12A,CLEC12A,1,0.047,0.434,0.642,0.026,12,12,10029269,10029119,150,cis,1.87E-103
ILMN_1662795,ILMN_2199439,0.895,0,CA2,CA2,1,0.056,0.301,0.281,0.046,8,8,86580426,86580533,107,cis,2.54E-74
